County,Crop,Crop Variable,Weather Variable,Correlation
Santa Clara,TOMATOES PROCESSING,Yield Per Acre,high_temp_days,0.2526350170195143
Santa Clara,TOMATOES PROCESSING,Yield Per Acre,low_temp_days,-0.2914333467239651
Santa Clara,TOMATOES PROCESSING,Yield Per Acre,heavy_rain_days,0.06718224063716714
Santa Clara,TOMATOES PROCESSING,Yield Per Acre,snow_days,
Santa Clara,TOMATOES PROCESSING,Yield Per Acre,high_wind_days,-0.39574550981308637
Santa Clara,TOMATOES PROCESSING,Yield Per Acre,low_visibility_days,
Santa Clara,TOMATOES PROCESSING,Yield Per Acre,cloudy_days,-0.05266447520063421
Santa Clara,TOMATOES PROCESSING,Production Per Acre,high_temp_days,0.16500496581207902
Santa Clara,TOMATOES PROCESSING,Production Per Acre,low_temp_days,-0.29639515964876806
Santa Clara,TOMATOES PROCESSING,Production Per Acre,heavy_rain_days,-0.06683236069057448
Santa Clara,TOMATOES PROCESSING,Production Per Acre,snow_days,
Santa Clara,TOMATOES PROCESSING,Production Per Acre,high_wind_days,-0.6068268441731951
Santa Clara,TOMATOES PROCESSING,Production Per Acre,low_visibility_days,
Santa Clara,TOMATOES PROCESSING,Production Per Acre,cloudy_days,-0.09923586988220705
Santa Clara,GRAPES WINE,Yield Per Acre,high_temp_days,-0.28007539997784764
Santa Clara,GRAPES WINE,Yield Per Acre,low_temp_days,0.024605092505225412
Santa Clara,GRAPES WINE,Yield Per Acre,heavy_rain_days,0.001811129579070318
Santa Clara,GRAPES WINE,Yield Per Acre,snow_days,
Santa Clara,GRAPES WINE,Yield Per Acre,high_wind_days,-0.26452561901942534
Santa Clara,GRAPES WINE,Yield Per Acre,low_visibility_days,
Santa Clara,GRAPES WINE,Yield Per Acre,cloudy_days,0.025706496379045665
Santa Clara,GRAPES WINE,Production Per Acre,high_temp_days,-0.2514696413322052
Santa Clara,GRAPES WINE,Production Per Acre,low_temp_days,-0.07691006214998959
Santa Clara,GRAPES WINE,Production Per Acre,heavy_rain_days,0.12063512268697532
Santa Clara,GRAPES WINE,Production Per Acre,snow_days,
Santa Clara,GRAPES WINE,Production Per Acre,high_wind_days,-0.32970877260414505
Santa Clara,GRAPES WINE,Production Per Acre,low_visibility_days,
Santa Clara,GRAPES WINE,Production Per Acre,cloudy_days,0.05504417626856317
Kings,TOMATOES PROCESSING,Yield Per Acre,high_temp_days,-0.2842615035101421
Kings,TOMATOES PROCESSING,Yield Per Acre,low_temp_days,0.09469293146570079
Kings,TOMATOES PROCESSING,Yield Per Acre,heavy_rain_days,-0.13152043191867768
Kings,TOMATOES PROCESSING,Yield Per Acre,snow_days,-0.09394290821332092
Kings,TOMATOES PROCESSING,Yield Per Acre,high_wind_days,-0.3706645344130676
Kings,TOMATOES PROCESSING,Yield Per Acre,low_visibility_days,0.46733950827322657
Kings,TOMATOES PROCESSING,Yield Per Acre,cloudy_days,0.1988537644706637
Kings,TOMATOES PROCESSING,Production Per Acre,high_temp_days,0.520586887201556
Kings,TOMATOES PROCESSING,Production Per Acre,low_temp_days,-0.3244793363956265
Kings,TOMATOES PROCESSING,Production Per Acre,heavy_rain_days,0.09477680239407475
Kings,TOMATOES PROCESSING,Production Per Acre,snow_days,-0.0968693816521528
Kings,TOMATOES PROCESSING,Production Per Acre,high_wind_days,0.690432642318722
Kings,TOMATOES PROCESSING,Production Per Acre,low_visibility_days,-0.5672343471349607
Kings,TOMATOES PROCESSING,Production Per Acre,cloudy_days,-0.2392887988593624
Kings,ALMONDS ALL,Yield Per Acre,high_temp_days,-0.5516110115183339
Kings,ALMONDS ALL,Yield Per Acre,low_temp_days,0.28881665764939274
Kings,ALMONDS ALL,Yield Per Acre,heavy_rain_days,0.04288283821155067
Kings,ALMONDS ALL,Yield Per Acre,snow_days,-0.07871549045995775
Kings,ALMONDS ALL,Yield Per Acre,high_wind_days,-0.34017635539506125
Kings,ALMONDS ALL,Yield Per Acre,low_visibility_days,0.41909697423743447
Kings,ALMONDS ALL,Yield Per Acre,cloudy_days,-0.05057536904128901
Kings,ALMONDS ALL,Production Per Acre,high_temp_days,0.5761268345144445
Kings,ALMONDS ALL,Production Per Acre,low_temp_days,-0.0908838690395188
Kings,ALMONDS ALL,Production Per Acre,heavy_rain_days,-0.16025102282785997
Kings,ALMONDS ALL,Production Per Acre,snow_days,-0.00048235209035722015
Kings,ALMONDS ALL,Production Per Acre,high_wind_days,0.5826383007368587
Kings,ALMONDS ALL,Production Per Acre,low_visibility_days,-0.5995273325972852
Kings,ALMONDS ALL,Production Per Acre,cloudy_days,-0.4796017165587886
Kings,GRAPES WINE,Yield Per Acre,high_temp_days,-0.42938817735739376
Kings,GRAPES WINE,Yield Per Acre,low_temp_days,0.4723609528999843
Kings,GRAPES WINE,Yield Per Acre,heavy_rain_days,-0.035587821860785525
Kings,GRAPES WINE,Yield Per Acre,snow_days,-0.168814367145011
Kings,GRAPES WINE,Yield Per Acre,high_wind_days,-0.40967501409532053
Kings,GRAPES WINE,Yield Per Acre,low_visibility_days,0.539363179957776
Kings,GRAPES WINE,Yield Per Acre,cloudy_days,0.020360163898841606
Kings,GRAPES WINE,Production Per Acre,high_temp_days,0.29460255844610167
Kings,GRAPES WINE,Production Per Acre,low_temp_days,-0.0748252076014955
Kings,GRAPES WINE,Production Per Acre,heavy_rain_days,-0.008345568421647598
Kings,GRAPES WINE,Production Per Acre,snow_days,-0.1490155023760461
Kings,GRAPES WINE,Production Per Acre,high_wind_days,0.599008292699226
Kings,GRAPES WINE,Production Per Acre,low_visibility_days,-0.43980145939344034
Kings,GRAPES WINE,Production Per Acre,cloudy_days,-0.33122420613375114
Fresno,TOMATOES PROCESSING,Yield Per Acre,high_temp_days,0.26437584784182894
Fresno,TOMATOES PROCESSING,Yield Per Acre,low_temp_days,-0.16582685894408278
Fresno,TOMATOES PROCESSING,Yield Per Acre,heavy_rain_days,0.07826201708851711
Fresno,TOMATOES PROCESSING,Yield Per Acre,snow_days,-0.14232448268269574
Fresno,TOMATOES PROCESSING,Yield Per Acre,high_wind_days,0.37766378070745316
Fresno,TOMATOES PROCESSING,Yield Per Acre,low_visibility_days,-0.09219687274951949
Fresno,TOMATOES PROCESSING,Yield Per Acre,cloudy_days,0.14802920199209738
Fresno,TOMATOES PROCESSING,Production Per Acre,high_temp_days,0.5476686047434352
Fresno,TOMATOES PROCESSING,Production Per Acre,low_temp_days,-0.3585516746665877
Fresno,TOMATOES PROCESSING,Production Per Acre,heavy_rain_days,-0.036573168319630804
Fresno,TOMATOES PROCESSING,Production Per Acre,snow_days,-0.009809636119588579
Fresno,TOMATOES PROCESSING,Production Per Acre,high_wind_days,0.6687382724012457
Fresno,TOMATOES PROCESSING,Production Per Acre,low_visibility_days,-0.560311692235899
Fresno,TOMATOES PROCESSING,Production Per Acre,cloudy_days,-0.26957545082045115
Fresno,ALMONDS ALL,Yield Per Acre,high_temp_days,-0.5058474696999095
Fresno,ALMONDS ALL,Yield Per Acre,low_temp_days,0.4862455601597457
Fresno,ALMONDS ALL,Yield Per Acre,heavy_rain_days,-0.07785192690612733
Fresno,ALMONDS ALL,Yield Per Acre,snow_days,0.04881673024093982
Fresno,ALMONDS ALL,Yield Per Acre,high_wind_days,-0.5836488107715169
Fresno,ALMONDS ALL,Yield Per Acre,low_visibility_days,0.599215416989568
Fresno,ALMONDS ALL,Yield Per Acre,cloudy_days,0.1113052843514828
Fresno,ALMONDS ALL,Production Per Acre,high_temp_days,0.441248682730467
Fresno,ALMONDS ALL,Production Per Acre,low_temp_days,-0.03558285127242226
Fresno,ALMONDS ALL,Production Per Acre,heavy_rain_days,-0.34156989121730164
Fresno,ALMONDS ALL,Production Per Acre,snow_days,0.17672622992309636
Fresno,ALMONDS ALL,Production Per Acre,high_wind_days,0.4199093973630277
Fresno,ALMONDS ALL,Production Per Acre,low_visibility_days,-0.49163010141525937
Fresno,ALMONDS ALL,Production Per Acre,cloudy_days,-0.42970794389821637
Fresno,GRAPES WINE,Yield Per Acre,high_temp_days,0.02490080213804315
Fresno,GRAPES WINE,Yield Per Acre,low_temp_days,0.2905413599769428
Fresno,GRAPES WINE,Yield Per Acre,heavy_rain_days,-0.04036388657083132
Fresno,GRAPES WINE,Yield Per Acre,snow_days,-0.16243133962646605
Fresno,GRAPES WINE,Yield Per Acre,high_wind_days,-0.12170648955065219
Fresno,GRAPES WINE,Yield Per Acre,low_visibility_days,0.13129706413090683
Fresno,GRAPES WINE,Yield Per Acre,cloudy_days,0.15154313534220193
