Year,Commodity Code,Crop Name,County Code,County,Harvested Acres,Yield,Production,Price P/U,Unit,Value,Yield Per Acre,Production Per Acre,Value Per Acre
1980,378299,TOMATOES PROCESSING,85,Santa Clara,4500,29.11,131000,48,TONS,6288000,0.006468888889,29.11111111,1397.333333
1980,378299,TOMATOES PROCESSING,31,Kings,839,26.6,22317,48,TONS,1064521,0.03170441001,26.59952324,1268.797378
1980,378299,TOMATOES PROCESSING,19,Fresno,34880,30.5,1064000,48,TONS,50753000,0.0008744266055,30.50458716,1455.074541
1980,261999,ALMONDS ALL,31,Kings,4847,0.52,2540,3033,TONS,7703820,0.0001072828554,0.5240354859,1589.399629
1980,261999,ALMONDS ALL,107,Tulare,8504,0.61,5190,3000,TONS,15570000,7.17E-05,0.6103010348,1830.903104
1980,261999,ALMONDS ALL,19,Fresno,23992,0.59,14200,3000,TONS,42600000,2.46E-05,0.5918639547,1775.591864
1980,216299,GRAPES WINE,1,Alameda,1660,2.36,3918,542,TONS,2125000,0.001421686747,2.360240964,1280.120482
1980,216299,GRAPES WINE,19,Fresno,35170,10.21,359100,174,TONS,62516000,0.0002903042366,10.2104066,1777.537674
1980,216299,GRAPES WINE,31,Kings,1122,7.9,8864,210,TONS,1861440,0.007040998217,7.900178253,1659.037433
1980,216299,GRAPES WINE,55,Napa,22261,3.6,80112,622,TONS,49863000,0.0001617178024,3.598760164,2239.926329
1980,216299,GRAPES WINE,65,Riverside,1701,4.77,8108,238,TONS,1932300,0.002804232804,4.766607878,1135.978836
1980,216299,GRAPES WINE,97,Sonoma,23639,3.34,78941,506,TONS,39982000,0.0001412919328,3.339439063,1691.357502
1980,216299,GRAPES WINE,107,Tulare,15159,8.88,134600,170,TONS,22902000,0.0005857906194,8.879213668,1510.785672
1981,378299,TOMATOES PROCESSING,85,Santa Clara,3000,28,84000,50,TONS,4200000,0.009333333333,28,1400
1981,378299,TOMATOES PROCESSING,19,Fresno,36640,28.6,1048000,51,TONS,53238000,0.0007805676856,28.60262009,1453.002183
1981,378299,TOMATOES PROCESSING,31,Kings,600,24,14400,51,TONS,731520,0.04,24,1219.2
1981,261999,ALMONDS ALL,31,Kings,4535,0.42,1909,2000,TONS,3818000,9.26E-05,0.4209481808,841.8963616
1981,261999,ALMONDS ALL,19,Fresno,23820,0.75,17900,1500,TONS,26850000,3.15E-05,0.7514693535,1127.20403
1981,261999,ALMONDS ALL,107,Tulare,8618,0.68,5860,1570,TONS,9200000,7.89E-05,0.6799721513,1067.53307
1981,216299,GRAPES WINE,19,Fresno,34210,8.54,292000,205,TONS,60000000,0.0002496346098,8.535515931,1753.873137
1981,216299,GRAPES WINE,31,Kings,1029,6.04,6215,230,TONS,1429450,0.005869776482,6.039844509,1389.164237
1981,216299,GRAPES WINE,1,Alameda,1725,2.82,4860,548,TONS,2662000,0.001634782609,2.817391304,1543.188406
1981,216299,GRAPES WINE,65,Riverside,2377,4.07,9667,404,TONS,3903200,0.001712242322,4.066891039,1642.069836
1981,216299,GRAPES WINE,55,Napa,22152,3.62,80155,732,TONS,58659000,0.0001634163958,3.618409173,2648.022752
1981,216299,GRAPES WINE,97,Sonoma,23776,3.39,80675,590,TONS,47626000,0.0001425807537,3.393127524,2003.112382
1981,216299,GRAPES WINE,107,Tulare,13431,9.48,127300,234,TONS,29760000,0.0007058297967,9.478073114,2215.769488
1982,378299,TOMATOES PROCESSING,85,Santa Clara,3600,23.06,83000,55,TONS,4554000,0.006405555556,23.05555556,1265
1982,378299,TOMATOES PROCESSING,19,Fresno,54370,31.89,1734000,56,TONS,96410000,0.000586536693,31.89258782,1773.220526
1982,261999,ALMONDS ALL,31,Kings,3436,0.57,1959,1613,TONS,3159865,0.0001658905704,0.5701396973,919.6347497
1982,261999,ALMONDS ALL,107,Tulare,8891,0.51,4530,1790,TONS,8109000,5.74E-05,0.5095039928,912.0458891
1982,261999,ALMONDS ALL,19,Fresno,23642,0.69,16300,1800,TONS,29340000,2.92E-05,0.6894509771,1241.011759
1982,216299,GRAPES WINE,55,Napa,24168,4.08,98687,773,TONS,76257000,0.0001688182721,4.08337471,3155.287984
1982,216299,GRAPES WINE,65,Riverside,2583,3.41,8810,249,TONS,2193400,0.001320170345,3.410762679,849.1676345
1982,216299,GRAPES WINE,85,Santa Clara,1732,3,5195,400,TONS,2078000,0.001732101617,2.999422633,1199.769053
1982,216299,GRAPES WINE,97,Sonoma,24746,4,98979,565,TONS,55910300,0.0001616422856,3.999797947,2259.36717
1982,216299,GRAPES WINE,107,Tulare,13671,8.19,112000,187,TONS,20916000,0.000599078341,8.192524322,1529.953917
1982,216299,GRAPES WINE,45,Mendocino,9667,4.7,45456,421,TONS,19137000,0.0004861901314,4.702182683,1979.621392
1982,216299,GRAPES WINE,1,Alameda,1610,3.93,6326,528,TONS,3342000,0.002440993789,3.929192547,2075.776398
1982,216299,GRAPES WINE,17,El Dorado,245,3.25,796,417,TONS,331800,0.01326530612,3.248979592,1354.285714
1982,216299,GRAPES WINE,19,Fresno,31691,11.19,354600,153,TONS,54187000,0.0003530970938,11.18929665,1709.854533
1982,216299,GRAPES WINE,31,Kings,1074,10.55,11331,124,TONS,1405045,0.009823091248,10.55027933,1308.235568
1983,378299,TOMATOES PROCESSING,85,Santa Clara,3200,29,92800,53,TONS,4918000,0.0090625,29,1536.875
1983,378299,TOMATOES PROCESSING,31,Kings,2278,25.8,58772,54,TONS,3156000,0.01132572432,25.79982441,1385.425812
1983,378299,TOMATOES PROCESSING,19,Fresno,60500,29.7,1797000,54,TONS,96499000,0.0004909090909,29.70247934,1595.024793
1983,261999,ALMONDS ALL,31,Kings,3756,0.46,1728,2300,TONS,3974000,0.0001224707135,0.4600638978,1058.040469
1983,261999,ALMONDS ALL,19,Fresno,24301,0.48,11700,2300,TONS,26910000,1.98E-05,0.4814616682,1107.361837
