County,Crop,Target,Model,R2,RMSE,MAE
Alameda,GRAPES WINE,Yield Per Acre,KNN,-0.7792776619003862,0.0006182485312338933,0.0005199306801246666
Alameda,GRAPES WINE,Yield Per Acre,DecisionTree,-1.7226630370136782,0.0008315893170722292,0.0006865189101566667
Alameda,GRAPES WINE,Yield Per Acre,GradientBoosting,-2.004914144292341,0.0008172805523784838,0.000717740991347186
Alameda,GRAPES WINE,Production Per Acre,KNN,-1.084943150502111,1.204016242710123,0.9749445755733334
Alameda,GRAPES WINE,Production Per Acre,DecisionTree,-0.828218482833722,1.2459793588715493,1.0591477078416667
Alameda,GRAPES WINE,Production Per Acre,GradientBoosting,-1.1704984093847977,1.2698381119000548,1.079743513440919
El Dorado,GRAPES WINE,Yield Per Acre,KNN,-49.75259174148274,0.004461301411554969,0.0043966077856208334
El Dorado,GRAPES WINE,Yield Per Acre,DecisionTree,-1029.8183359859468,0.0019852249227143323,0.0009941581359541667
El Dorado,GRAPES WINE,Yield Per Acre,GradientBoosting,-187.05590726197923,0.0031480459123716365,0.0031985513113067117
El Dorado,GRAPES WINE,Production Per Acre,KNN,-1.0245333978119893,0.5126972103953223,0.4686610817583334
El Dorado,GRAPES WINE,Production Per Acre,DecisionTree,-7.838151325557791,0.5880298603510804,0.5313509902708333
El Dorado,GRAPES WINE,Production Per Acre,GradientBoosting,-4.270742037019635,0.521704459184248,0.5180124775221124
Fresno,ALMONDS ALL,Yield Per Acre,KNN,-3.055229765137486,6.872204107864481e-06,6.432933333333333e-06
Fresno,ALMONDS ALL,Yield Per Acre,DecisionTree,-12.364178202286253,9.817555180483067e-06,8.339666666666666e-06
Fresno,ALMONDS ALL,Yield Per Acre,GradientBoosting,-5.995413615554658,7.906676731462951e-06,7.128222381144912e-06
Fresno,ALMONDS ALL,Production Per Acre,KNN,-2.5028056792854954,0.21935222707297844,0.1819623789853333
Fresno,ALMONDS ALL,Production Per Acre,DecisionTree,-3.0755636584372783,0.23862212787973125,0.20503287042333332
Fresno,ALMONDS ALL,Production Per Acre,GradientBoosting,-2.9686461441680296,0.23502879965843634,0.20693059066581165
Fresno,GRAPES WINE,Yield Per Acre,KNN,-1.4200508312884337,7.601995746380402e-05,6.8330449598e-05
Fresno,GRAPES WINE,Yield Per Acre,DecisionTree,-3.3679609860794293,0.00013401652212439007,9.215532825333333e-05
Fresno,GRAPES WINE,Yield Per Acre,GradientBoosting,-2.2032459979150385,8.785719342980867e-05,7.441740707743769e-05
Fresno,GRAPES WINE,Production Per Acre,KNN,-0.4569489472466959,2.07565222394457,1.5880078778400002
Fresno,GRAPES WINE,Production Per Acre,DecisionTree,-5.692609306586989,3.1598898254727446,2.65215644722
Fresno,GRAPES WINE,Production Per Acre,GradientBoosting,-2.3353703689231335,3.0522076606678112,2.3484288814206598
Fresno,TOMATOES PROCESSING,Yield Per Acre,KNN,-5.947778250272617,0.0001494252340436762,0.00014030189034533336
Fresno,TOMATOES PROCESSING,Yield Per Acre,DecisionTree,-7.095380890221596,0.00014142937825488856,0.00016647521204888889
Fresno,TOMATOES PROCESSING,Yield Per Acre,GradientBoosting,-3.4319459894170237,0.00012823515457414933,0.00012045433647760814
Fresno,TOMATOES PROCESSING,Production Per Acre,KNN,-10.540046132436348,7.8600864820216705,7.280264031600001
Fresno,TOMATOES PROCESSING,Production Per Acre,DecisionTree,-2.378093828160154,5.67167887182146,5.248954621833334
Fresno,TOMATOES PROCESSING,Production Per Acre,GradientBoosting,-3.968821154296112,6.361359328084647,5.508786416493778
Kings,ALMONDS ALL,Yield Per Acre,KNN,-14.298785269719955,0.0001518606084582374,0.00014659251541866667
Kings,ALMONDS ALL,Yield Per Acre,DecisionTree,-7.316477919374041,0.00010384645200474327,0.00012408129455222222
Kings,ALMONDS ALL,Yield Per Acre,GradientBoosting,-6.4135070159286505,0.00011585736826858944,0.00010565922811221449
Kings,ALMONDS ALL,Production Per Acre,KNN,-4.90481889462478,0.20622595207327218,0.17787925079266664
Kings,ALMONDS ALL,Production Per Acre,DecisionTree,-5.350466098807591,0.2289459007521093,0.2157464141686667
Kings,ALMONDS ALL,Production Per Acre,GradientBoosting,-4.287739421630917,0.21722330969218703,0.17649065118373866
Kings,GRAPES WINE,Yield Per Acre,KNN,-18.234836373812467,0.002707881464378415,0.0024431471256133332
Kings,GRAPES WINE,Yield Per Acre,DecisionTree,-25.994157213033485,0.0029919441922058505,0.0025155288111711116
Kings,GRAPES WINE,Yield Per Acre,GradientBoosting,-26.498114676913943,0.0028241658091590995,0.0025139760748615226
Kings,GRAPES WINE,Production Per Acre,KNN,-1.9730854750550313,3.135345361126392,2.7387963899599996
Kings,GRAPES WINE,Production Per Acre,DecisionTree,-2.368617546526371,3.7456388894074593,3.3291062333855557
Kings,GRAPES WINE,Production Per Acre,GradientBoosting,-1.6601149896828435,3.2644138625988615,2.977095335851588
Kings,TOMATOES PROCESSING,Yield Per Acre,KNN,-50.57944087997462,0.006312856999427714,0.005817954847413334
Kings,TOMATOES PROCESSING,Yield Per Acre,DecisionTree,-395.36963189174236,0.009702360516313728,0.007805093108399999
Kings,TOMATOES PROCESSING,Yield Per Acre,GradientBoosting,-336.1019754546457,0.009267038994390025,0.007472972275018849
Kings,TOMATOES PROCESSING,Production Per Acre,KNN,-2.136943868061713,10.8781143177767,9.242027773333334
Kings,TOMATOES PROCESSING,Production Per Acre,DecisionTree,-1.6577848022111799,10.785405632749777,8.991499817
Kings,TOMATOES PROCESSING,Production Per Acre,GradientBoosting,-1.167903424532262,9.498802303133631,8.346772191820433
Mendocino,GRAPES WINE,Yield Per Acre,KNN,-6.2872828931621685,8.25997161850102e-05,7.348410295777778e-05
Mendocino,GRAPES WINE,Yield Per Acre,DecisionTree,-12.04386956853221,0.00010846434444678438,9.731696984629632e-05
Mendocino,GRAPES WINE,Yield Per Acre,GradientBoosting,-12.135778708871905,9.829165563794797e-05,8.598813919060532e-05
Mendocino,GRAPES WINE,Production Per Acre,KNN,-1.09291342741683,0.6857769925175048,0.5854280949555556
