month,city_name,lat,lon,temp,visibility,dew_point,feels_like,temp_min,temp_max,pressure,sea_level,grnd_level,humidity,wind_speed,wind_deg,wind_gust,rain_1h,rain_3h,snow_1h,snow_3h,clouds_all,weather_id,weather_main,weather_description,weather_icon,high_temp_days,low_temp_days,heavy_rain_days,snow_days,high_wind_days,low_visibility_days,cloudy_days
1979-01,Eureka,40.802071,-124.163673,46.8813172,9927.835052,41.46299731,43.47091398,45.31697581,48.47552419,1016.755376,,,81.86021505,9.264072581,162.8709677,,0.9958659218,,,,67.05376344,800,Clear,sky is clear,01d,0,1,0,0,0,0,0
1979-01,Fresno,36.737798,-119.787125,47.26154337,6979.124579,40.47040816,45.39946429,46.31993622,48.23028061,1017.288265,,,78.30102041,4.740140306,163.1989796,27.515,0.831627907,,,,63.45153061,721,Haze,haze,50d,0,1,0,0,0,0,1
1979-01,Los Angeles,34.054908,-118.242643,52.40182796,,44.65844086,50.835,50.61887097,53.94370968,1016.583333,,,76.56989247,4.539825269,108.9879032,,1.050155039,,,,63.93682796,800,Clear,sky is clear,01d,0,1,0,0,1,0,1
1979-01,Palm Springs,33.830296,-116.545292,50.32162019,9646.428571,38.32455511,48.43010624,47.34588313,55.11208499,1017.292165,,,67.24701195,3.816547145,201.1620186,32.21,0.6147682119,,0.2925,,63.40770252,800,Clear,sky is clear,01d,0,1,0,1,0,1,1
1979-01,Riverside,33.980601,-117.375494,48.7677957,,40.41080645,47.39438172,46.7590457,50.89688172,1016.978495,,,74.78897849,3.23875,110.952957,,0.9834969325,,0.12,,67.85483871,800,Clear,sky is clear,01d,0,1,0,0,0,0,1
1979-01,San Francisco,37.774929,-122.419415,47.85986559,,42.5509543,45.00837366,46.39638441,49.30076613,1016.811828,,,82.71505376,8.653776882,172.141129,,1.117785714,,,,64.1922043,800,Clear,sky is clear,01d,0,1,1,0,0,0,0
1979-01,South Lake Tahoe,38.939926,-119.977187,23.26373333,8802.366864,18.70226667,19.42458667,20.538,26.5802,1018.914667,,,81.508,4.492946667,148.1706667,28.67285714,1.1005,,0.6119594595,,80.26933333,800,Clear,sky is clear,01d,0,1,1,0,0,0,1
1979-02,Eureka,40.802071,-124.163673,47.80429421,9230.434783,42.80419019,44.41205052,46.39454681,49.2879792,1018.251114,,,83.21099554,10.4410847,194.1708767,,0.8546451613,,,,83.92867756,500,Rain,light rain,10d,0,1,0,0,0,0,1
1979-02,Fresno,36.737798,-119.787125,50.01392185,8132.8,42.61616498,48.42182344,49.08370478,51.01241679,1019.396527,,,77.09406657,4.697756874,184.9030391,26.39666667,0.7691724138,,,,59.90303907,500,Rain,light rain,10d,0,0,0,0,0,0,1
1979-02,Los Angeles,34.054908,-118.242643,54.27251488,,47.26111607,53.10004464,52.41907738,55.8916369,1018.425595,,,78.71577381,4.090863095,136.3883929,,0.7061797753,,,,50.0922619,501,Rain,moderate rain,10d,0,1,0,0,0,0,0
1979-02,Palm Springs,33.830296,-116.545292,52.44803571,10000.0,40.7138244,50.4974256,49.05510417,57.2253869,1018.084821,,,66.69345238,5.078125,240.2440476,31.34,0.5606349206,,,,43.90625,501,Rain,moderate rain,10d,0,1,0,0,0,0,1
1979-02,Riverside,33.980601,-117.375494,50.23998512,,42.27747024,48.97639881,48.35927083,52.1853869,1018.604167,,,76.42113095,3.193199405,136.889881,,0.60216,,0.1,,56.5922619,501,Rain,moderate rain,10d,0,1,0,0,0,0,1
1979-02,San Francisco,37.774929,-122.419415,50.32934524,,45.30508929,48.491875,48.96186012,51.65748512,1019.22619,,,83.41666667,8.226994048,222.047619,,1.093253968,,,,66.88392857,802,Clouds,scattered clouds,03d,0,0,1,0,0,0,1
1979-02,South Lake Tahoe,38.939926,-119.977187,27.36705015,7797.260274,19.50722714,22.23954277,24.98861357,30.05681416,1018.859882,,,72.28171091,5.926356932,191.0176991,29.47,0.4121052632,,0.6979234973,,79.10176991,804,Clouds,overcast clouds,04d,0,1,0,0,0,1,1
1979-03,Eureka,40.802071,-124.163673,50.06197315,8592.45283,45.80841611,48.06497987,48.25785235,52.05087248,1017.089933,,,85.59731544,7.269073826,192.9879195,,0.5261702128,,,,61.59597315,500,Rain,light rain,10d,0,0,0,0,0,0,0
1979-03,Fresno,36.737798,-119.787125,56.1977158,8287.54717,47.987251,55.0611421,55.19118194,57.26169987,1016.136786,,,75.52988048,5.156055777,209.0464807,24.68166667,0.798447205,,,,51.4249668,804,Clouds,overcast clouds,04d,0,0,0,0,0,0,0
1979-03,Los Angeles,34.054908,-118.242643,57.79817204,,51.24438172,57.10334677,55.72827957,59.4813172,1016.099462,,,80.33198925,4.147849462,152.7594086,,1.005546875,,,,50.30913978,803,Clouds,broken clouds,04d,0,0,0,0,0,0,0
1979-03,Palm Springs,33.830296,-116.545292,58.49334672,10000.0,44.69538153,57.04787149,55.68269076,62.56768407,1015.246319,,,64.6626506,4.989919679,232.5087015,26.33214286,0.5453684211,,,,44.27443106,803,Clouds,broken clouds,04d,0,0,0,0,0,0,1
1979-03,Riverside,33.980601,-117.375494,53.83924731,,46.64637097,53.00926075,52.09704301,55.78165323,1016.206989,,,78.98252688,3.025268817,145.3158602,,0.9609356725,,,,56.09274194,803,Clouds,broken clouds,04d,0,0,0,0,0,0,1
1979-03,San Francisco,37.774929,-122.419415,53.60181452,,49.26342742,52.28271505,52.40525538,54.8175,1016.767473,,,85.60887097,7.490362903,237.8575269,,0.6866972477,,,,63.95967742,501,Rain,moderate rain,10d,0,0,0,0,0,0,0
