Year,city_name,lat,lon,temp,visibility,dew_point,feels_like,temp_min,temp_max,pressure,sea_level,grnd_level,humidity,wind_speed,wind_deg,wind_gust,rain_1h,rain_3h,snow_1h,snow_3h,clouds_all,weather_id,weather_main,weather_description,weather_icon,high_temp_days,low_temp_days,heavy_rain_days,snow_days,high_wind_days,low_visibility_days,cloudy_days
1980,Eureka,40.802071,-124.163673,53.760281,8547.504026,49.39988055,52.43343117,51.59450057,56.19059613,1017.299886,,,85.58589306,8.650990899,231.5817975,,0.8265565345,,,,58.74357224,500,Rain,light rain,10d,21,15,16,0,43,51,47
1980,Fresno,36.737798,-119.787125,62.87313894,8164.104324,47.57321253,61.76096008,61.83297614,63.93638938,1014.938113,,,61.41380464,5.389055531,233.897636,27.05672131,0.8514285714,,,,33.68454505,520,Rain,light intensity shower rain,09d,21,29,6,0,36,63,55
1980,Los Angeles,34.054908,-118.242643,68.10552709,,54.61078893,68.0634893,65.08763206,70.4976924,1014.416211,,,65.69558288,4.111071266,164.462204,,1.035643564,,,,34.13513206,803,Clouds,broken clouds,04d,47,10,9,0,60,0,52
1980,Palm Springs,33.830296,-116.545292,71.59292874,9914.455446,46.36441414,70.40346176,68.7968451,75.55306967,1013.578361,,,46.1803614,5.180912604,227.9191954,31.64019417,0.6926958525,,,,28.59245369,804,Clouds,overcast clouds,04d,26,15,5,0,28,11,70
1980,Riverside,33.980601,-117.375494,64.82108948,,50.06413707,64.07811475,63.18381831,66.46980077,1014.523793,,,63.03779599,3.153901412,171.2929189,,0.9602836879,,,,35.26605191,804,Clouds,overcast clouds,04d,34,11,9,0,3,0,62
1980,San Francisco,37.774929,-122.419415,57.22195014,,51.44514458,56.30229964,55.87880464,58.57274249,1016.351321,,,81.93180783,8.451977459,235.5536202,,0.8315120275,,,,49.58777322,804,Clouds,overcast clouds,04d,19,32,6,0,47,0,40
1980,South Lake Tahoe,38.939926,-119.977187,42.60595112,9219.130435,31.12348125,39.64325149,40.63181214,44.62480122,1016.461876,,,67.8192364,5.013816871,185.4723505,28.59286052,0.6592561983,,0.6412355212,,45.87656268,741,Fog,fog,50d,25,24,10,6,35,32,53
1981,Eureka,40.802071,-124.163673,54.65758837,8792.270531,50.20785177,53.48792474,52.51536146,57.07144356,1017.038198,,,85.32576967,9.222615735,229.7302166,,0.884138756,,,,62.09201824,741,Fog,fog,50d,30,7,14,0,57,42,59
1981,Fresno,36.737798,-119.787125,64.33336949,8387.928716,48.90173787,63.25860769,63.30097517,65.3326616,1014.333259,,,62.34254082,5.364246254,233.3654663,26.2666,0.7839660494,,,,36.36938045,800,Clear,sky is clear,01d,30,31,4,0,28,53,48
1981,Los Angeles,34.054908,-118.242643,69.2673847,,56.93198516,69.50359703,66.24541781,71.60664726,1013.951598,,,68.1576484,4.038409817,163.6797945,,1.014901961,,,,33.48253425,802,Clouds,scattered clouds,03d,76,21,7,0,56,0,41
1981,Palm Springs,33.830296,-116.545292,73.18506303,9748.496241,47.65511073,72.00492447,70.48659057,77.10708575,1013.026689,,,45.49131175,4.958094265,225.4573538,29.8134375,0.5836220472,,,,30.3794435,804,Clouds,overcast clouds,04d,38,24,2,0,27,21,77
1981,Riverside,33.980601,-117.375494,65.91821005,10000,51.64765183,65.2566895,64.30964726,67.51441324,1014.03984,,,64.01267123,3.1270879,175.9186073,,0.682739212,,,,34.88710046,801,Clouds,few clouds,02d,49,24,4,0,4,0,52
1981,San Francisco,37.774929,-122.419415,57.83714498,,52.33680936,56.95194064,56.40792352,59.24111758,1015.794178,,,82.76723744,9.130744292,243.7172374,,0.7582311321,,,,51.98287671,803,Clouds,broken clouds,04d,25,21,10,0,60,0,50
1981,South Lake Tahoe,38.939926,-119.977187,44.52483794,9163.146192,31.29815584,41.8160271,42.59511124,46.60878148,1016.063693,,,65.63636364,4.970077922,185.504009,26.44462838,0.8248679868,,0.6779041096,,47.82619989,800,Clear,sky is clear,01d,47,26,15,7,29,37,59
1982,Eureka,40.802071,-124.163673,53.1442065,9146.967742,48.52696748,51.31762693,51.0098996,55.49728694,1016.698802,,,84.69503708,9.714629778,229.9301768,,0.9046995708,,,,57.10188249,500,Rain,light rain,10d,45,51,19,0,69,33,41
1982,Fresno,36.737798,-119.787125,61.79385847,8736.499069,48.41394469,60.64708095,60.81243086,62.77325272,1014.582018,,,65.79240846,5.446430411,229.9333781,25.04181818,0.9064779162,,,,39.81827343,804,Clouds,overcast clouds,04d,12,63,14,0,22,53,56
1982,Los Angeles,34.054908,-118.242643,66.39214269,,53.92595776,66.1552968,63.60948174,68.6837968,1014.269064,,,67.47956621,4.234252283,163.0594749,,0.8146930693,,,,41.41769406,804,Clouds,overcast clouds,04d,51,51,5,0,67,0,66
1982,Palm Springs,33.830296,-116.545292,69.3128225,9876.923077,47.71371627,68.29466014,66.62471821,73.11064443,1013.363429,,,51.33564841,5.11235341,225.7825344,29.47313433,0.7982653061,,,,36.84629398,803,Clouds,broken clouds,04d,17,57,13,0,30,21,97
1982,Riverside,33.980601,-117.375494,62.81960845,,50.29218265,62.11610388,61.1232911,64.52497945,1014.377854,,,67.1413242,3.181407534,170.7070776,,0.7707202881,,,,43.31803653,804,Clouds,overcast clouds,04d,34,51,7,0,11,0,77
1982,San Francisco,37.774929,-122.419415,56.31979909,,50.4382774,55.07690868,54.88169863,57.76781849,1015.884475,,,81.49041096,8.841642694,235.6861872,,0.8831475748,,,,52.0847032,501,Rain,moderate rain,10d,22,70,12,0,53,0,44
1982,South Lake Tahoe,38.939926,-119.977187,40.36856203,8872.253865,30.33831594,37.35350533,38.22415287,42.78034702,1016.283738,,,70.65774552,4.686316625,183.6822409,30.36649635,0.7675107296,,0.9441035475,,51.37729644,601,Snow,snow,13d,21,70,16,15,32,43,62
1983,Eureka,40.802071,-124.163673,55.18964954,,50.74146918,54.01568836,53.35711644,57.2824395,1014.965868,,,85.24783105,10.17700913,228.2754566,,0.9299055794,,,,62.8533105,801,Clouds,few clouds,02d,71,8,22,0,81,0,70
1983,Fresno,36.737798,-119.787125,64.17950571,,50.1899258,63.36378995,63.28501941,65.10967009,1013.794635,,,64.13504566,4.778986301,233.8020548,,0.8635401831,,,,40.693379,800,Clear,sky is clear,01d,27,28,14,0,12,0,65
1983,Los Angeles,34.054908,-118.242643,67.47866324,,56.70455251,67.62454338,64.9083242,69.54635502,1013.678539,,,71.04646119,4.182239726,168.1480594,,1.103436242,,,,39.04121005,800,Clear,sky is clear,01d,57,35,15,0,78,0,60
1983,Palm Springs,33.830296,-116.545292,70.31325,,50.08780023,69.48937671,67.67261986,74.14685046,1012.903995,,,53.81347032,4.446531963,229.8808219,,0.7413715278,,,,34.67305936,800,Clear,sky is clear,01d,15,41,11,0,13,0,92
1983,Riverside,33.980601,-117.375494,63.85703653,,52.76916553,63.42037557,62.19682306,65.55405251,1013.869863,,,70.25924658,3.080987443,174.6444064,,0.8955360281,,,,42.78527397,800,Clear,sky is clear,01d,33,34,12,0,2,0,85
1983,San Francisco,37.774929,-122.419415,58.84455023,,52.93039384,58.06865982,57.48487443,60.19919521,1014.664954,,,81.56118721,9.371518265,235.0318493,,0.8664850746,,,,54.025,800,Clear,sky is clear,01d,53,25,18,0,71,0,54
1983,South Lake Tahoe,38.939926,-119.977187,41.88817694,,32.55725342,39.19561986,39.91922717,43.84594635,1015.364498,,,72.44440639,4.297415525,199.3109589,,0.7061023622,,0.7922540666,,54.60296804,800,Clear,sky is clear,01d,17,35,20,19,11,0,78
1984,Eureka,40.802071,-124.163673,53.06007049,8732.914923,48.59792951,51.4699477,50.92298692,55.29992837,1017.749517,,,85.09880614,9.385530415,229.9565662,,0.8264071856,,,,53.17123366,711,Smoke,smoke,50d,25,33,13,0,53,38,28
1984,Fresno,36.737798,-119.787125,64.82965401,8874.658988,47.42676072,63.70895197,63.71456276,65.95197738,1014.492442,,,58.07490763,5.46742806,234.1957228,25.84921053,0.7153304904,,,,33.97111186,804,Clouds,overcast clouds,04d,61,44,3,0,35,49,32
1984,Los Angeles,34.054908,-118.242643,69.01863957,,54.95867714,69.16049636,66.27398679,71.17766963,1013.60929,,,64.21106557,4.261429872,162.6321721,,0.6903942652,,,,31.11680328,803,Clouds,broken clouds,04d,92,36,1,0,77,0,30
1984,Palm Springs,33.830296,-116.545292,71.4452263,9688.297872,48.28338764,70.89110772,68.67780493,75.32903372,1013.116542,,,48.44331297,4.809538357,213.7446255,30.92135135,0.678490566,,,,32.00961756,804,Clouds,overcast clouds,04d,20,44,8,0,26,21,68
1984,Riverside,33.980601,-117.375494,65.26766447,7200,50.41699294,64.67522991,63.66959709,66.89139313,1013.756203,,,62.32824949,3.190604371,170.483155,,0.57102,,,,34.40052356,804,Clouds,overcast clouds,04d,58,39,6,0,4,2,29
1984,San Francisco,37.774929,-122.419415,58.11247268,,51.6816826,57.14075137,56.67483948,59.53989071,1016.104394,,,80.21516393,8.908428962,244.0553279,,0.746446281,,,,44.52459016,800,Clear,sky is clear,01d,48,41,7,0,61,0,31
1984,South Lake Tahoe,38.939926,-119.977187,42.39606301,9440.774487,30.80384859,39.61493314,40.33483001,44.73525499,1016.94549,,,67.38825929,4.653176564,180.4298504,30.19748201,0.5473362445,,0.6793188406,,46.35936083,804,Clouds,overcast clouds,04d,30,41,6,8,21,26,34
